hmo_licence_reference,pcd,lat,long
HMOM/21/64983,EN4 9DX,51.6523,-0.1554
HMOM/22/65414,NW2 3LS,51.5564,-0.2114
HMOME/21/63834,NW4 2AD,51.5863,-0.2191
HMOME/21/63835,EN5 2HE,51.6521,-0.1987
HMOM/21/64636,EN5 2HE,51.6521,-0.1987
HMOM/21/63683,N11 3AA,51.6163,-0.1472
HMOM/21/64204,NW9 5JS,51.597,-0.2496
HMOME/21/64536,N3 3RY,51.596,-0.1999
HMOM/21/64569,NW2 2SH,51.5587,-0.2082
HMOM/21/64639,NW4 3TS,51.5769,-0.2284
HMOM/21/64199,NW11 9RL,51.5731,-0.2088
HMOM/21/64700,NW11 8DP,51.5664,-0.1963
HMOM/21/64700,EN5 1SF,51.6466,-0.1742
HMOM/21/64751,EN5 1SF,51.6466,-0.1742
HMOM/21/64858,NW11 9JG,51.5797,-0.2124
HMOM/21/64861,N12 8QT,51.6222,-0.1781
HMOME/21/63832,NW4 1RT,51.5904,-0.2235
HMOME/21/63965,EN5 2HE,51.6521,-0.1987
HMOM/21/64910,N3 3BD,51.5911,-0.1921
